# Date: 19/07/01 ,Author: E.Hubble
# Wavelength (m) ,Observation: 19909,Observation: 27028,Observation: 16652,Observation: 31458,Observation: 47548,Observation: 21100,Observation: 11768,Observation: 36969,Observation: 36656,Observation: 14915,Observation: 16766,Observation: 18197,Observation: 30915,Observation: 41090,Observation: 48054,Observation: 39451,Observation: 36999,Observation: 23674,Observation: 23095,Observation: 30768,Observation: 31991,Observation: 31544,Observation: 38008,Observation: 16076,Observation: 43937,Observation: 42251,Observation: 36537,Observation: 15338,Observation: 23522,Observation: 47565
6.600000000000000337e-07,1.239835274456226983e+02,1.482134801335984946e+02,1.325249097352039200e+02,1.417311494166729062e+02,1.122530458098926829e+02,1.216903044783186090e+02,1.315543790206702681e+02,1.344255806789631720e+02,1.091877620863597258e+02,1.064562658070981911e+02,1.639673518317802063e+02,1.470069637959225872e+02,1.178943114029264052e+02,1.214272666651071404e+02,1.121645504684895940e+02,1.422379910371205369e+02,1.412451977040703639e+02,1.570048970480904416e+02,1.425403569658512595e+02,9.076993189355124514e+01,9.014175676521445268e+01,1.260232155692986566e+02,1.306959267377101526e+02,1.252299496491883417e+02,9.723844659227519571e+01,1.126182186415621231e+02,1.056573920759775262e+02,1.295571306483231808e+02,1.615699190474830687e+02,1.311729345168872101e+02
6.601000000000000412e-07,1.275610931452651897e+02,1.448802669710901796e+02,1.388174855772820138e+02,1.309214606494472548e+02,1.205732112942125553e+02,1.168988816990010378e+02,1.272781794140240663e+02,1.296045822675926331e+02,1.039475591112298218e+02,9.817013341562255846e+01,1.612455577884172158e+02,1.421246990640680679e+02,1.175045051282874482e+02,1.351443382949543093e+02,1.094039390214067566e+02,1.451170940481068214e+02,1.401861617444134254e+02,1.333088762998058030e+02,1.361000849142460822e+02,9.999963872870192461e+01,1.108148360323502146e+02,1.237235221134629626e+02,1.340010966722017542e+02,1.303541764185386000e+02,1.036381678994038680e+02,1.069247064423384472e+02,1.086966971588656889e+02,1.409565745044565972e+02,1.559636050314322517e+02,1.443687412698232606e+02
6.602000000000000487e-07,1.337705397240183345e+02,1.475213819725659334e+02,1.283884417037260732e+02,1.364596056725655728e+02,1.214839925220263979e+02,1.202741688039934900e+02,1.360325867741466368e+02,1.219821339394194268e+02,1.092299748161057806e+02,1.045440532771353048e+02,1.491150778713080456e+02,1.453570595097801288e+02,1.182433146522906071e+02,1.335040724523933307e+02,1.178961647455975452e+02,1.475851994603664252e+02,1.229502487510863631e+02,1.387218377416931787e+02,1.398878252641720792e+02,1.087275458971373467e+02,1.173675858383509905e+02,1.262946770110504389e+02,1.335568400560608211e+02,1.394685080893498821e+02,1.051565662418163640e+02,1.093795674086164809e+02,9.520959768399869461e+01,1.395929547901265551e+02,1.746148140191025391e+02,1.327841216677426246e+02
6.602999999999999503e-07,1.299500755103585163e+02,1.478932633233800402e+02,1.378578104499639778e+02,1.305929854470828104e+02,1.193433091238350698e+02,1.247324694941610375e+02,1.178089322230949136e+02,1.163780501677652950e+02,1.087467148492215756e+02,1.057069027566486881e+02,1.618986053387873483e+02,1.399617789034203099e+02,1.179200039840906271e+02,1.222940752542948957e+02,1.083835881706752104e+02,1.354681885518692184e+02,1.308561249780350693e+02,1.500132182589226204e+02,1.489099131277568802e+02,1.008189082205583418e+02,1.080643396148566069e+02,1.344035881260592760e+02,1.332459906883112239e+02,1.318129971071587079e+02,9.200199364685946080e+01,1.150370399480440682e+02,1.100320774676220310e+02,1.378233999347423264e+02,1.685085713998785764e+02,1.526919537641658735e+02
6.604000000000000637e-07,1.416550163706983199e+02,1.445281566786416079e+02,1.370041889630764445e+02,1.361925221547506624e+02,1.122362665376870723e+02,1.211527377031301285e+02,1.337031539066518349e+02,1.259190346420537878e+02,1.061732223285979160e+02,1.031954577168384901e+02,1.619869621893419946e+02,1.424339935375875541e+02,1.218129014747666332e+02,1.403274330663192302e+02,9.824409732875790269e+01,1.360061518231705975e+02,1.394870046711310749e+02,1.572943357131542825e+02,1.285561546122828815e+02,1.019999043387060595e+02,1.080954248424305177e+02,1.244765372655509594e+02,1.375518433861846859e+02,1.289358817790744069e+02,1.071890141388708599e+02,1.119695893138587337e+02,9.737111814638450369e+01,1.224411624643367986e+02,1.582427286581129238e+02,1.356733419406554049e+02
6.605000000000000712e-07,1.243761590956399488e+02,1.528693652057039003e+02,1.370244484322680592e+02,1.524983342087278970e+02,1.274530898550223981e+02,1.099967438824153163e+02,1.253391295790503648e+02,1.299476183626688623e+02,1.084088673493721870e+02,9.969888323320114409e+01,1.608734384111621694e+02,1.401192118380728573e+02,1.220670930112628412e+02,1.364321273683582945e+02,1.094963619782266022e+02,1.358931144773101778e+02,1.292724758461683621e+02,1.591051333762007971e+02,1.402308599247474490e+02,1.017350193672612733e+02,9.338528431615375780e+01,1.258255595513174825e+02,1.355257730282493753e+02,1.395801752943351914e+02,1.032777791548288064e+02,1.113257351994839013e+02,1.036392652946681920e+02,1.434008446615599723e+02,1.645717128553840496e+02,1.385226936667661164e+02
6.606000000000000787e-07,1.239450432088630691e+02,1.434132068101220909e+02,1.265464984113471303e+02,1.396145569469265411e+02,1.178301636013799083e+02,1.199120645665512086e+02,1.234590053690892404e+02,1.260824673842321459e+02,1.047478932005898571e+02,1.007116529948226855e+02,1.695501766262644594e+02,1.538106708105769087e+02,1.215830078362948683e+02,1.469947032311402495e+02,1.153155067763863997e+02,1.469093968425340790e+02,1.277049628785933209e+02,1.386165156179145299e+02,1.348142151549941161e+02,9.312057708534624112e+01,1.153642252925411213e+02,1.271334733479050954e+02,1.303186559278340724e+02,1.327413702030584091e+02,1.027331357242870524e+02,1.066476396427711961e+02,1.042268937440188097e+02,1.310775187654241734e+02,1.584328962955195550e+02,1.382144126543917935e+02
6.607000000000000863e-07,1.392453583482150918e+02,1.483320654130250205e+02,1.368304546705451514e+02,1.318572120071411575e+02,1.248517635418065481e+02,1.140820803285867271e+02,1.262791927209586333e+02,1.306086859158494065e+02,1.011140185105448381e+02,1.102150434558188579e+02,1.567198030139990124e+02,1.475521760035657337e+02,1.115779130708925635e+02,1.265010194099951661e+02,1.039391801987654134e+02,1.393475631026460064e+02,1.348822776832677732e+02,1.599728310584792155e+02,1.480019230274682513e+02,1.040403655318448273e+02,1.084982662690981101e+02,1.242572019188031334e+02,1.358301599953931600e+02,1.397413832483835563e+02,1.063092906465480354e+02,1.079801845630206003e+02,1.064785127036762162e+02,1.404794318739587879e+02,1.670036633487386268e+02,1.344780944578245965e+02
6.607999999999999879e-07,1.283948249344213366e+02,1.492503419272785550e+02,1.320907667354295540e+02,1.487841993061850019e+02,1.160452282219830096e+02,1.165104328697847365e+02,1.377898938579004948e+02,1.280818008079021979e+02,1.071027321857314405e+02,1.039701376398396917e+02,1.659410064833657827e+02,1.442959010517872969e+02,1.231020823066121608e+02,1.305232038171177464e+02,1.061589847269476934e+02,1.391683976111118568e+02,1.337760815664400695e+02,1.419964180744299256e+02,1.362629930797305065e+02,1.087013590492949220e+02,1.075292649780050596e+02,1.260779594922067304e+02,1.448863528420329203e+02,1.401399753410277071e+02,1.014675696678934145e+02,1.017070572757136517e+02,9.978798400948865321e+01,1.213587861391055327e+02,1.796036729059788968e+02,1.562889721613683207e+02
6.608999999999999954e-07,1.167451953281861279e+02,1.460315422931669502e+02,1.272648515142201688e+02,1.343681602316126202e+02,1.167621403255500212e+02,1.132474523893460372e+02,1.306305015456218257e+02,1.182577587094081082e+02,1.087390842860290405e+02,1.033593709807431935e+02,1.550776153786154907e+02,1.484326756642008718e+02,1.166189579551614912e+02,1.278788062757728028e+02,1.054648911830574747e+02,1.475058685696818088e+02,1.299747605537966137e+02,1.485457793772364141e+02,1.365703495454447989e+02,9.024032246523081824e+01,1.095570693584695334e+02,1.209490752611605586e+02,1.275076471319734139e+02,1.365964697281667384e+02,9.343924610366620698e+01,1.086927465259016827e+02,9.310173025846457051e+01,1.320643013691605461e+02,1.604692772635884808e+02,1.428106459877764678e+02
